,Image,Text_Description
0,https://images-na.ssl-images-amazon.com/images/I/51j3fPQTQkL.jpg,"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete|Sports & Outdoors |RESPONSIVE FLEX: The Crossbow features a bamboo core encased in triaxial fiberglass and HD plastic for a responsive flex pattern thats second to none. Pumping & carving have never been so satisfying Flex 2 is recommended for people 120 to 170 pounds.COREFLEX TECH: CoreFlex construction is water resistant, impact resistant, scratch resistant and has a flex like you wont believe. These boards combine fiberglass, epoxy, HD plastic and bamboo to create a perfect blend of performance and strength.INSPIRED BY THE NORTHWEST: Our founding ideal is chasing adventure & riding the best boards possible, inspired by the hills, waves, beaches & mountains all around our headquarters in the NorthwestBEST IN THE WORLD: DB was founded out of sheer love of longboarding with a mission to create the best custom longboards in the world, to do it sustainably, & to treat customers & employees like family|$237.68"
1,https://images-na.ssl-images-amazon.com/images/I/51M0KnJxjKL.jpg,"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)|Toys & Games |Snap circuits mini kits classpack provides basic electronic circuitry activities for students in grades 2-6Includes 5 separate mini building kits- an FM radio, a motion detector, music box, space battle sound effects, and a flying saucerEach kit includes separate components and instructions to buildEach component represents one function in a circuit components snap together to create working models of everyday electronic devices|$99.95"
2,https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg,"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate|Toys & Games |Smooth 3D drawing experienced the best 3D drawing experience by only using 3Doodler Create Plastics with 3Doodler Create and create 3D Printing pen.Safe to usethe 3Doodler Create Plastics, conforms to the health requirements of ASTM-D-4236 & require no additional labelling in accordance with the US Consumer Product safety Commissions Regulations as mandated by Labeling of Hazardous Art Materials Act (LHAMA).3Doodler very own Type of plasticthe FLEXY plastic takes creativity to new levels You can make flexible fun 3D creationsEnvironmentally friendly3doodler create Plastic is made of corn and are 100 compostable125 strands of drawing funthis bundle includes 5 refill filament packs, that's a total of 1043 ft. Of 3D drawing and doodling funThe 3Doodler appget an interactive experience The app is packed with dedicated easy to follow stencil section and step by step interactive instructions, receive badges for completed projects and photograph & share YOUR creations directly on social media. The app is fully built on iOS & Android.|$34.99"
3,https://images-na.ssl-images-amazon.com/images/I/516UijZMilL.jpg,Guillow Airplane Design Studio with Travel Case Building Kit|Toys & Games |Experiment with different designs and learn about flight.All contained in Part trays inside an attractive box with carry handleGuillow's - your one source for flying toys since 1926.|$28.91
4,https://images-na.ssl-images-amazon.com/images/I/61plo8Xv4vL.jpg,Woodstock- Collage 500 pc Puzzle|Toys & Games |Puzzle has 500 piecesCompleted puzzle measure 14 x 19100 officially licensed merchandise|$17.49
6,https://images-na.ssl-images-amazon.com/images/I/311yBLR6GiL.jpg,"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small|Clothing, Shoes & Jewelry |PolyesterDeluxe Pokemon child's Pikachu costume features a fleece jumpsuit with attached tail and headpiece with attached ears and printed faceOfficially licensed Pokemon costume, look for trademark on packaging and label to help assure you've received authentic safety-tested itemImportant: Costumes are sized differently than apparel, use the Rubie's Child Size Chart, do not choose based on child's age or clothing sizeGroup costume fun: coordinate with additional Pokemon costumes and accessories available from Rubie's|$29.12"
8,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg,"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch|Home & Kitchen |The visual effect of textured glass and stained glassCreates privacy  Provides UV protectionNo adhesives  Applies easilyPatterns repeat to cover any size window|$12.99"
10,https://images-na.ssl-images-amazon.com/images/I/51rUvw7zrtL.jpg,"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector|Toys & Games |3 story reels: make reading even more magical with the Moonlite story reels bundle With 3 story reels included in this set, read adventure-filled tales about Pirates, Dragon and a T-Rex to your little boy any time of day, and enjoy them again and againEasy-to-use portable storybook projector: The tales included in this 3-pack come alive with Moonlite Clip the projector (sold separately) onto your smartphone (not included), slide in one of the set's story reels and project vibrant images onto any surface Moonlite is lightweight and small enough to carry with you wherever you go.Develop a love of learning: adored by children and adults, award-winning Moonlite and the story reels create an immersive reading experience that instills a love of learning at a young age. As kids follow along to their favorite stories, they develop their imagination, creativity and language skills.The Moonlite 3-story bundle makes a great gift for boys aged 3 and up and includes 3 story reels. Read tales like how to be a pirate, there was an old Dragon who swallowed a Knight and I'm a T.Rex Works with the Moonlite storybook projector (sold separately).|$18.16"
11,https://images-na.ssl-images-amazon.com/images/I/415AfhrfM7L.jpg,"DC Cover Girls: Black Canary by Joëlle Jones Statue|Toys & Games |Designed by Joelle JonesSculpted by Jack MathewsRebirth-era character designLimited to 5, 000 pieces|$84.61"
12,https://images-na.ssl-images-amazon.com/images/I/51wmH8yyGxL.jpg,"Baby Doll Bedding Chevron Window Valance and Curtain Set, Orange|Baby Products |Modern chevron design|$33.92"
13,https://images-na.ssl-images-amazon.com/images/I/51LoYG%2BDsLL.jpg,"LEGO Minecraft Creeper BigFig and Ocelot Characters 21156 Buildable Toy Minecraft Figure Gift Set for Play and Decoration, New 2020 (184 Pieces)|Toys & Games |Put Minecraft adventures in kids' hands with authentic real-world LEGO models of two iconic characters from the popular video game: a LEGO BigFig Creeper and an Ocelot that are fun to build, play with, display and collectThe extra-large, easy-to-build BigFig Creeper and the Ocelot add a whole new physical dimension to the Minecraft game, and movable limbs maximize possibilities for independent play and action posesThis awesome LEGO Minecraft BigFig Creeper and Ocelot are fun to build, bring the video game's action-packed creativity to life, and are great additions to any LEGO Minecraft fan's collectionThis easy-to-build LEGO set makes a great holiday, birthday or anyday gift for all Minecraft players ages 7 and up and anyone wanting to expand their LEGO Minecraft collection|$14.99"
14,https://images-na.ssl-images-amazon.com/images/I/51RLMxSin-L.jpg,"C&D Visionary DC Comic Originals Flash Logo Sticker|Toys & Games |Sticker is great for Walls, Doors, Desks, Guitars, Cars, Windows, and NotebooksComes ready to install, just peel the back and apply on clean surfaceGreat to be used on any scrapbooking projects|$4.99"
15,https://images-na.ssl-images-amazon.com/images/I/61EE6qrO2BL.jpg,"The Learning Journey ABC Melody Maker, Primary|Toys & Games |ABC Melody Maker is an exciting electronic learning companion featuring five fun games and a ten note musical keyboard sure to entertain and educate youngstersThis colorful interactive unit features an activity selector that puts kids in charge of choosing their funChildren won't even realize they're learning Song book includedRequires three AA batteries (included)For ages 3 and upCheerful melodies5 educational gamesDevelops language skills|$34.39"
16,https://images-na.ssl-images-amazon.com/images/I/41gxkFaSFfL.jpg,"The Complete Common Core: State Standards Kit, Grade 5|Toys & Games |Perfect all-inclusive resource for teachersProvides focus for instruction in the perfect time-saving formatPre-printed, easily organized system that provides an entire list of Common Core State Standards in both math and language artsIncludes divider cards, grade-specific 2-sided cards with ""I Can"" statements on one side and the corresponding standard on the other|$12.88"
17,https://images-na.ssl-images-amazon.com/images/I/31WxfYlS8XL.jpg,Flash Furniture 25''W x 45''L Trapezoid Red HP Laminate Activity Table - Height Adjustable Short Legs|Home & Kitchen |Table can be used alone or grouped together for cooperative learningRecommended Grade Level: PreschoolRecommended Seating Capacity: 3 Children|$117.26
18,https://images-na.ssl-images-amazon.com/images/I/51wOrcShPHL.jpg,"Schylling Veterinarian Kit|Toys & Games |For the animal lover in the family, a complete veterinarian kit perfect for the aspiring vetContains everything you need, 8 specialist veterinarian tools, Clipboard, and 2 special x-ray cards that you can see through when held up to the lightA great STEM steam toy, learn about animals and their health needs, Features dogs, cats, rabbits, horses and a pot-bellied pigComes in a portable doctors bag that holds everything in special trays secures with a clasp and has a fold down handle|$9.39"
19,https://images-na.ssl-images-amazon.com/images/I/41YYqvdWT5L.jpg,"Yellies! Frizz; Voice-Activated Spider Pet; Ages 5 & Up|Toys & Games |Sound-activated movementyell, talk, sing, clap, or play music.The louder you yell, the faster they goEach cuddly yellies Spider has a unique personality. Find your favoriteWatch yellies Pets eyes light up and legs move as they respond to your voice.|$17.85"
20,https://images-na.ssl-images-amazon.com/images/I/51oF4e0NvcL.jpg,"Disney HK318329 Sofia The First Sleepover Set|Toys & Games |100 PolyesterFeatures colorful and unique Sofia the First designsPerfect for traveling and sleepoversSet includes eye mask, slumber sack, and carry purse100 Polyester|$27.50"
21,https://images-na.ssl-images-amazon.com/images/I/41bHRYbeLgL.jpg,Team Associated 9665 Hinge Pin Brace with Hinge Pins B4/T4|Toys & Games |Perfect for the racing enthusiast|$10.99
22,https://images-na.ssl-images-amazon.com/images/I/51qmz2JiIHL.jpg,"PLUS PLUS - Construction Building Toy, Open Play Set - 3,600 Pieces with Storage Tub - Basic Color Mix|Toys & Games |SIMPLE DESIGN - FUELS CREATIVITY: One shape, endless possibilities Every brick easily connects to the next. Create colorful flat mosaics or work in 3-D to make more intricate builds. Mix and match any Plus-Plus set to bring more ideas to lifeEDUCATIONAL FUN: Plus-Plus empowers children with free explorative play as they encourage fine motor skills, logic, creativity and imagination all without the use of screens. A great STEM toy.PERFECT FOR ON-THE-GO: Design and build your creations any way you want, wherever you want Great for every adventure  car rides, restaurants, a friends house, or in your own living room. Stay entertained for hours|$159.99"
23,https://images-na.ssl-images-amazon.com/images/I/41BRiHD0dYL.jpg,"Big Party Pack Orange Peel Plastic Plates | 10.25"" | Pack of 50 | Party Supply|Toys & Games ||$12.63"
24,https://images-na.ssl-images-amazon.com/images/I/519BaFjimBL.jpg,"Peppa Pig Shape Sorter Clock Puzzle (12Piece)|Toys & Games |The removable, brightly colored wooden shapes with numbers printed beneath the shapes allow for greater interaction and ease of matchingWith this shape sorter clock, learning to tell time is made fun and simple|$11.88"
26,https://images-na.ssl-images-amazon.com/images/I/51M1sShThFL.jpg,NKOK Sonic and Sega All Stars Racing Remote Controlled Car - Sonic The Hedgehog|Toys & Games |Requires 6AA batteries (not included)This product was awarded the Fun Stuff award by Parents' Choice FoundationFor Ages 6 and UpOfficial sonic productFull function radio controlRequires 6 AA batteries (not included)Limited availability|$26.99
27,https://images-na.ssl-images-amazon.com/images/I/41y%2BKv5LLzL.jpg,"Industro Stainless Steel Hose Clamps|Home & Kitchen |Rectangular perforations help to hold strong and connect easily. Color: Silver.Tub makes for easy storage. Product Dimension: 2""D x 0. 6""H x 2""WSize: 1-34"", Size range: 34"" to 1-34"", Finish: Stainless Steel.AISI 300 series stainless steel material.|$34.27"
28,https://images-na.ssl-images-amazon.com/images/I/31B3hyqqWAL.jpg,"Oopsy Daisy Birchwood Owl Growth Chart, Pink, 12"" x 42""|Baby Products |Color-coordinated decorative covers are supplied that fit over the screw or nail to create a finished lookGrommets are placed in the corners to make hanging easyIdeal gift for baby showers and first birthdays|$18.70"
29,https://images-na.ssl-images-amazon.com/images/I/518B%2BLjZbOL.jpg,"Springbok Puzzles - Christmas Wishes - 400 Piece Jigsaw Puzzle - Large 26.75 Inches by 20.5 Inches Puzzle - Made in USA - Unique Cut Interlocking Pieces - Big Pieces for Kids & Small Pieces for Adults|Toys & Games |400 PIECE JIGSAW PUZZLE - Featuring a finished size of 26.75 inches by 20.5 inches with a precision cut that ensures a tight, interlocking heirloom-quality puzzleMADE IN USA - Manufactured in Kansas City, Missouri Springbok Puzzles have been American made since 1963ECO-FRIENDLY - Springbok Puzzles are manufactured with sustainably sourced organic, non-toxic soy-based inks & utilizes 100 recycled puzzle board materialsUNIQUE CUT PIECES - Each puzzle piece is unique and never repeated Springbok Puzzle pieces are made from thick cut 75 point board, 18 thicker than the industry average|$14.95"
30,https://images-na.ssl-images-amazon.com/images/I/51CiVVrsClL.jpg,"Franklin Sports Eye Black Stickers for Kids - Customizable Lettering Baseball and Football Eye Black Stickers - White Pencil Included|Sports & Outdoors |EASY USE: Just peel and stick these eyeblack stickers under the eyes to use This non toxic material is safe to use and will stay on as long as you need No mistakes, no messFULLY CUSTOMIZABLE: Write anything you want on these eyeblack stickers to personalize them exactly to your likingWHITE PENCIL INCLUDED: The special white pencil to write on your stickers is included in the set so you'll have everything you needREDUCE GLARE: The eye black stickers will help reduce glare from the sun and bright lights so you can keep your eye on the ball|$6.91"
31,https://images-na.ssl-images-amazon.com/images/I/41UH2QoXb2L.jpg,"Costume Sunglasses Clown from IT Sun-Staches Party Favors UV400|Toys & Games |All Sun-Staches Sunglasses provide 100 UV400 protection and impact resistant lenses because we careInstant party starter and very comfortable to wearGreat for kids and adults, one size fits mostAs seen on the popular show, Shark Tank|$5.99"
32,https://images-na.ssl-images-amazon.com/images/I/41uqfIm8fZL.jpg,"Jay Franco Disney Frozen 2 Forest Spirit Twin/Full Comforter & Sham Set, Mutli|Home & Kitchen |100 PolyesterPERFECT FIT & FUN DESIGN - Reversible twinfull sized comforter measures 72 inch x 86 inches and sham measures 24 inch x 20 inches. Add a touch of decorative enchantment to your room with our fashionable and super soft Disney Frozen 2 comforter. Colorful and magical design features your childs favorite Disney sisters, Elsa and Anna.HIGH QUALITY & EASY CARE - Keep your little one as cozy as can be Frozen 2 comforter is super soft and great for all seasons. 100 brushed microfiber polyester allows for a comfortable night's sleep. Fade resistant and machine washable. To clean, machine wash cold. To dry, airtumble dry on low.GREAT GIFT  This Disney Frozen 2 comforter will make any child smile and will transform any bedroom, guest room, kids room, RV, or vacation home. Great gift for school or home. It rolls up for easy storage and travel. This only the comforter, sheet set is sold separately.SHOP THE FROZEN 2 COLLECTION - Complete your bedroom with our other Disney Frozen 2 products - Coordinating bedding and accessories available (sold separately).|$36.37"
33,https://images-na.ssl-images-amazon.com/images/I/41pkph02FPL.jpg,"TAMASHII NATIONS Bandai S.H. Figuarts Captain America & Tamashii Effect Explosion Avengers: Infinity War Action Figure|Toys & Games |Battle damage detailing to his costume have been carefully replicated and a digitally colored head is included.Product size: approx. 6.1""|$60.87"
34,https://images-na.ssl-images-amazon.com/images/I/314rdsW5WLL.jpg,"Forum Novelties Union Officer Child's Costume, Medium|Clothing, Shoes & Jewelry |Union Officer child costume contains shirt coast with gold tone buttons and pants with decorative trimREAD BEFORE BUYING: Costumes are not the same sizing as clothing, read size chart, Q & A, and reviews to know the best size for your childMedium fits children 46 to 53 Inch tall, up to 62 poundsHat and gun sold separately|$21.07"
36,https://images-na.ssl-images-amazon.com/images/I/31iK4bdZltL.jpg,Disney Mickey Golf Ball Spinner Pewter Key Ring Key Accessory|Toys & Games |Makes a great giftInteresting spinning component|$8.44
37,https://images-na.ssl-images-amazon.com/images/I/51DcBG52cRL.jpg,"Anagram International 3085101 Go Team Megaphone Shop Balloon Pack, 29""|Toys & Games |Top quality foil will float for one week with heliumSelf-sealing valve seals itself during inflationHighly durableThis product is easy to use and highly durable|$6.45"
